#;详细描述;Detailed description;Ətraflı təsviri;Malgöndərən/podratçının qeydləri;Part Number;Ad eng;Ad chn;Category;Factory Adress;iSTEHSALCI OLKE;Condition;Quality;Car Brand;Car marka;Part Year
8421;变速箱油，包括更换;Gearbox oil, including change;Sürətlər qutusunun yağı, dəyişilməsi ilə birlikdə;ATF DSG  Bendix, Türkiyə.;ATF DSG;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
8422;变速箱油滤清器;Gearbox oil filter;Sürətlər qutusunun yağ filtri;3533060070. .Çin, Original;3533060070;Transmission oil filter;变速箱油滤清器;Transmission;;China;New;Original;;;
8423;更换燃油滤清器，使用新的滤清器和备用零件。;Replacing the fuel filter with a new one, along with a spare part;Yanacaq süzgəcinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;772460211. .Çin, Original;772460211;Fuel filter;燃油滤清器;Fuel System;;China;New;Original;;;
8424;更换空气滤清器，包括一个新的和备用的。;Replacing the air filter with a new one, along with a spare part;Hava süzgəcinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1780138030. .Çin, Original;1780138030;Air filter;空气滤清器;Engine;;China;New;Original;;;
8425;更换火花塞时，使用新的火花塞和备用零件。;Replacing the spark plug with a new one, along with the spare part;Alışdırma şamının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;9091901191. .Çin, Original;9091901191;Spark plug;火花塞;Engine;;China;New;Original;;;
8426;用新灯泡替换旧灯泡，同时使用备用零件。;Replacing the bulb with a new one, along with the spare part;Babinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;9091902256. .Çin, Original;9091902256;Ignition coil;点火线圈;Engine;;China;New;Original;;;
8427;更换发动机皮带（链条），使用新的皮带和备用零件。;Replacing the engine belt (chain) with a new one, along with a spare part;Mühərrik qayışının (zəncirinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1350638030. .Çin, Original;1350638030;Engine timing chain;发动机正时链条;Engine;;China;New;Original;;;
8428;更换发动机支架，使用新的支架和备件。;Replacing the engine mount with a new one, along with the spare part;Mühərrik yastığının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1236138190. .Çin, Original;1236138190;Engine mount;发动机支架;Engine;;China;New;Original;;;
8429;更换前刹车片（含备件）;Replacement of front brake pads with new ones, including spare parts;Ön əyləc qəliblərinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;04466560280. .Çin, Original;04466560280;Front brake caliper;前制动卡钳;Brake System;;China;New;Original;;;
8430;更换后刹车片（含备件）;Replacement of rear brake pads with new ones, including spare parts;Arxa əyləc qəliblərinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;0446660160. .Çin, Original;0446660160;Rear brake caliper;后制动卡钳;Brake System;;China;New;Original;;;
8431;更换冰箱（空调）的空气过滤器，包括更换新的过滤器和备用零件。;Replacing the air filter of the refrigerator (air conditioner) with a new one, along with a spare part;Soyuducunun (kondisionerin) hava süzgəcinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;8713950040. .Çin, Original;8713950040;Air conditioning air filter;空调空气滤清器;Air Conditioning;;China;New;Original;;;
8432;更换前后稳定杆橡胶件，包括备件;Replacement of front and rear stabilizer rubbers, including spare parts;Ön və arxa stabilizatorun rezinlərinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;2906041. .Çin, Original;2906041;Front and rear stabilizer bushings;前后稳定杆胶套;Suspension;;China;New;Original;;;
8433;右下臂置换，含备件;Lower right arm replacement, with spare part;Alt sağ qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;236031290902100..Çin, Original;236031290902100;Lower right control arm;右下控制臂;Suspension;;China;New;Original;;;
8434;左下臂置换，含备件;Lower left arm replacement, with spare part;Alt sol qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;9027839.Çin, Original;9027839;Lower left control arm;左下控制臂;Suspension;;China;New;Original;;;
8435;更换下部皮带轮，包括备件;Replacement of the lower pulley, including spare part;Alt şaravoyun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;45200230401200..Çin, Original;45200230401200;Lower ball joint;下球头;Suspension;;China;New;Original;;;
8436;更换轮毂轴承（含备件）;Replacement of the hub bearing with a new one, including spare parts;Stupitsa diyircəkli yastığının (podşibnikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;3103025. .Çin, Original;3103025;Wheel hub bearing;轮毂轴承;Suspension / Wheel Assembly;;China;New;Original;;;
8437;用新的连杆（稳定杆）以及备件替换旧的连杆（稳定杆）。;Replacing the link (stabilizer bar) with a new one, along with the spare part;Linqin (stabilizatorun sırğası) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;3162-2906060.Çin, Original;3162-2906060;Stabilizer link;稳定杆连接杆;Suspension;;China;New;Original;;;
8438;更换刹车软管，含备件;Brake hose replacement, with spare part;Əyləc şlanqlarının dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;3506085. .Çin, Original;3506085;Brake hose;刹车软管;Braking System;;China;New;Original;;;
8439;更换前刹车支架，使用新的支架和备件。;Replacing the front brake support with a new one, along with the spare part;Ön əyləc supportunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;3502010. .Çin, Original;3502010;Front brake caliper;前刹车卡钳;Braking System;;China;New;Original;;;
8440;更换后刹车支架，包括备件。;Replacement of the rear brake support with a new one, including the spare part;Arxa əyləc supportunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;236031350201000   .Çin, Original;236031350201000   ;Rear brake caliper;后刹车卡钳;Braking System;;China;New;Original;;;
8441;刹车油，包括更换;Brake fluid, including replacement;Əyləc mayesi, dəyişdirilməsi ilə birlikdə;DOT 4 Bendix Türkiyə;DOT 4;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
8442;更换动力转向系统（方向盘），包括备件。;Replacement of the power steering (steering wheel) with a new one, including spare parts;Sükan hidrogücləndiricisinin (rulevoyun) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;374140001201. .Çin, Original;374140001201;Power steering rack;转向助力齿条;Steering / Power Steering;;China;New;Original;;;
8443;动力转向油，包括更换;Power steering oil, including replacement;Sükan hidrogücləndiricisinin (rulevoyun) yağı, dəyişdirilməsi ilə birlikdə;ATF 3  Bendix,Türkiyə.;ATF 3;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
8444;更换水暖散热器，包括备件。;Replacing the water radiator with a new one, including spare parts;Su radiatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;37411301010. .Çin, Original;37411301010;Radiator;散热器;Engine / Cooling System;;China;New;Original;;;
8445;更换机油散热器，包括备件。;Replacing the oil radiator with a new one, including spare parts;Yağ radiatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;46900062. .Çin, Original;46900062;Oil cooler;机油冷却器;Engine / Cooling System;;China;New;Original;;;
8446;更换取暖炉的散热器，包括备件。;Replacing the radiator of the heating stove with a new one, including spare parts;İstilik peçinin radiatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;374100810106037. .Çin, Original;374100810106037;Heater core;暖风散热器;Cooling / Heating System;;China;New;Original;;;
8447;更换恒温器，包括一个新的和备用的。;Replacing the thermostat with a new one, along with a spare part;Termostatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;T31070. .Çin, Original;T31070;Thermostat;恒温器;Engine / Cooling System;;China;New;Original;;;
8448;更换水温传感器，包括备件;Replacement of water temperature sensor, including spare part;Su temperaturu sensorunun (datçikinin) əvəz olunması, ehtiyat hissəsi ilə birlikdə;193828. .Çin, Original;193828;Coolant temperature sensor;冷却液温度传感器;Engine / Sensors;;China;New;Original;;;
8449;更换上部水暖散热器管道，包括备件;Replacement of the upper water radiator pipe, including spare part;Su radiatorunun üst borusunun (potrubkası) əvəz olunması, ehtiyat hissəsi ilə birlikdə;4511303010. .Çin, Original;4511303010;Upper radiator hose;散热器上水管;Engine / Cooling System;;China;New;Original;;;
8450;更换下部散热器管道，包括备件;Replacement of the lower radiator pipe, including spare part;Su radiatorunun alt borusunun (potrubkası) əvəz olunması, ehtiyat hissəsi ilə birlikdə;1303010. .Çin, Original;1303010;Lower radiator hose;散热器下水管;Engine / Cooling System;;China;New;Original;;;
8451;更换供暖炉管道（软管），包括备件;Replacement of the heating furnace pipe (hose), including spare part;İstilik peçinin borusunun (şlanqının) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;8102063. .Çin, Original;8102063;Heater hose;暖风水管;Cooling / Heating System;;China;New;Original;;;
8452;冲洗燃油喷射器;Flushing fuel injectors;Yanacaq forsunkalarının yuyulması;XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
8453;更换水泵，包括一个新的水泵和一个备用零件。;Replacing the water pump with a new one, along with a spare part;Su nasosunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1307010-40. .Çin, Original;1307010-40;Water pump;水泵;Engine / Cooling System;;China;New;Original;;;
8454;燃油泵更换，包括备件;Fuel pump replacement, including spare part;Yanacaq nasosunun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;901-1106010. .Çin, Original;901-1106010;Fuel pump;燃油泵;Fuel System;;China;New;Original;;;
8455;更换起动机，包括一个新的和备用的零件。;Replacing the starter with a new one, along with a spare part;Starterin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;3708001-20. .Çin, Original;3708001-20;Starter motor;起动机;Engine / Starter;;China;New;Original;;;
8456;拆卸和维修起动传动装置（包括备件）;Dismantling and repairing the starter transmission (bendex), including spare parts;Starter intiqalının (bendeksinin) sökülüb təmir olunması, ehtiyat hissəsi ilə birlikdə;423708600. .Çin, Original;423708600;Starter drive;起动机单向器;Engine / Starter;;China;New;Original;;;
8457;更换启动开关（自动），包括备件;Replacement of starter switch (automatic), including spare part;Starter qoşucusunun (avtomatının) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;603708. .Çin, Original;603708;Starter solenoid;起动机电磁开关;Engine / Starter;;China;New;Original;;;
8458;启动器碳罐更换，含备件;Starter carbon replacement, with spare part;Starter kömürünün dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;2815038030. .Çin, Original;2815038030;Starter brush;起动机碳刷;Engine / Starter;;China;New;Original;;;
8459;启动锚更换，包括备件;Starter anchor replacement, including spare part;Starter lövbərinin (yakorunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;423708880. .Çin, Original;423708880;Starter coil;起动机绕组;Engine / Starter;;China;New;Original;;;
8460;更换发电机，包括新的发电机和备用零件。;Replacement of the dynamo with a new one, along with spare parts;Dinamonun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;32123771. .Çin, Original;32123771;Alternator;发电机;Engine / Alternator;;China;New;Original;;;
8461;更换发电机继电器，包括备件;Replacement of the dynamo relay, including spare part;Dinamo relesinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;463701. .Çin, Original;463701;Alternator relay;发电机继电器;Engine / Alternator;;China;New;Original;;;
8462;更换发电机电枢（绕组），包括备件;Replacement of the dynamo armature (winding), including spare part;Dinamo lövbərinin (obmotka) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;32123771. .Çin, Original;32123771;Alternator winding;发电机绕组;Engine / Alternator;;China;New;Original;;;
8463;发电机皮带更换，含备件;Dynamo belt replacement, with spare part;Dinamo qayışının dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;6PK1413 .Çin, Original;6PK1413;Alternator belt;发电机皮带;Engine / Belts;;China;New;Original;;;
8464;更换挡风玻璃雨刮电机，包括备件。;Replacing the windshield wiper motor with a new one, including spare parts;Şüşəsilənin motorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;5205000. .Çin, Original;5205000;Windshield wiper motor;雨刷电机;Accessories / Wipers;;China;New;Original;;;
8465;更换雨刮片，包括备用零件。;Replacing the wiper blades with new ones, including spare parts;Şüşəsilənin fırçalarının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;298W0135 .Çin, Original;298W0135;Windshield wiper blade;雨刷片;Accessories / Wipers;;China;New;Original;;;
8466;更换制动主缸，包括备件;Master brake cylinder replacement, including spare part;Baş əyləc (qlavnıy) silindrin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;3505010. .Çin, Original;3505010;Master cylinder;主缸;Braking System;;China;New;Original;;;
8467;离合器缸更换，包括备件;Clutch cylinder replacement, including spare part;Muftanın silindrinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;1602510. .Çin, Original;1602510;Clutch cylinder;离合器液压缸;Clutch System;;China;New;Original;;;
8468;更换挡风玻璃（底玻璃）;Replacing the windshield (underglaze) with a new one;Ön alın şüşəsinin (podpresin) yenisi ilə əvəz olunması;5201010. .Çin, Original;5201010;Front windshield;前挡风玻璃;Body / Glass;;China;New;Original;;;
8469;更换后减震器垫片（含备件）;Replacement of the rear shock absorber pad with a new one, including spare parts;Arxa amortizator yastığının yenisi ilə əvəz olunması, ehtiyat hissəsilə ilə birlikdə;65020682856. .Çin, Original;65020682856;Rear shock absorber mount;后减震器胶垫;Suspension;;China;New;Original;;;
8470;更换左前内挡泥板，使用新的内挡泥板，并附上备件。;Replacement of the front left inner fender with a new one, along with the spare part;Ön sol iç qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;2217-2904101.Çin, Original;2217-2904101;Front left CV joint;左前等速万向节;Drivetrain;;China;New;Original;;;
8471;更换左前外壳，包括备用零件。;Replacement of the front left outer shell with a new one, including a spare part;Ön sol çöl qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;2217-2904101.Çin, Original;2217-2904101;Front left CV joint;左前等速万向节;Drivetrain;;China;New;Original;;;
8472;更换右前外壳，包括备用零件。;Replacement of the front right outer shell with a new one, including a spare part;Ön sağ çöl qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;GDS61237.Çin, Original;GDS61237;Front right CV joint;右前等速万向节;Drivetrain;;China;New;Original;;;
8473;更换右前内挡泥板，包括备用零件。;Replacement of the front right inner fender with a new one, including the spare part;Ön sağ iç qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;046900291247600.Çin, Original;046900291247600;Front right CV joint;右前等速万向节;Drivetrain;;China;New;Original;;;
8474;更换压力盘（杯状物），包括备件。;Replacing the pressure disc (cup) with a new one, including spare parts;Sıxıcı disk (çaşka) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;pp6010. .Çin, Original;pp6010;Clutch pressure plate;离合器压盘;Clutch System;;China;New;Original;;;
8475;用新的圆盘（feredo）替换磨损的圆盘，并附上备用零件。;Replacing the worn disc (feredo) with a new one, along with a spare part;Aparılan disk (feredo) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1601130. .Çin, Original;1601130;Clutch disc;离合器摩擦片;Clutch System;;China;New;Original;;;
8476;更换离合器及离合器片（vizhimnoy），包括新的离合器片和备件。;Replacement of the clutch with the clutch pad (vizhimnoy) with a new one, along with the spare part;Sıxıcı mufta yastığı ilə birlikdə (vıjimnoy) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;688911. .Çin, Original;688911;Clutch release bearing;离合器分离轴承;Clutch System;;China;New;Original;;;
8477;更换万向轴横梁，包括备件。;Replacement of the cardan shaft cross member with a new one, including spare parts;Kardan valının çarpazının (krestovinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;2201025. .Çin, Original;2201025;Drive shaft cross;传动轴十字轴;Transmission / Drivetrain;;China;New;Original;;;
8478;更换右上臂，包括备件;Replacement of the upper right arm, including spare part;Üst sağ qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;2217-2904101.Çin, Original;2217-2904101;Upper right control arm;右上控制臂;Suspension;;China;New;Original;;;
8479;更换左上臂，包括备件;Replacement of the upper left arm, including spare part;Üst sol qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;2217-2904101.Çin, Original;2217-2904101;Upper left control arm;左上控制臂;Suspension;;China;New;Original;;;
8480;更换上窗扇，包括备件;Replacement of the upper sash, including spare part;Üst şaravoyun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;374100230406000.Çin, Original;374100230406000;Upper ball joint;上球头;Suspension;;China;New;Original;;;
8481;更换分动箱（razdatka），包括备件。;Replacement of the transfer case (razdatka) with a new one, including spare parts;Paylayıcı qutunun (razdatka) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;3909951801012000. .Çin, Original;3909951801012000;Transfer case;分动箱;Drivetrain;;China;New;Original;;;
8482;更换前驱动轴，包括备件。;Replacing the front driveshaft with a new one, including spare parts;Ön kardan valının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;42000316010. .Çin, Original;42000316010;Front driveshaft;前传动轴;Drivetrain;;China;New;Original;;;
8483;更换中间万向轴，包括备件。;Replacement of the intermediate cardan shaft with a new one, including spare parts;Aralıq kardan valının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;315120230431000.Çin, Original;315120230431000;Center driveshaft;中间传动轴;Drivetrain;;China;New;Original;;;
8484;更换后驱动轴（含备件）;Replacement of the rear drive shaft with a new one, including spare parts;Arxa kardan valının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;220695220101002. .Çin, Original;220695220101002;Rear driveshaft;后传动轴;Drivetrain;;China;New;Original;;;
8485;发动机机油，包括更换;Engine oil, including change;Mühərrik yağı, dəyişilməsi ilə birlikdə;15x40 Bendix Türkiyə;15x40;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
8486;发动机机油滤清器;Engine oil filter;Mühərrik yağ filtri;0986452003. .Çin, Original;0986452003;Oil filter;机油滤清器;Engine;;China;New;Original;;;
8487;冷却液（防冻液），包括更换;Coolant (antifreeze), including replacement;Soyutma mayesi (antifriz), dəyişdirilməsi ilə birlikdə;Antifreeze -56 3L Bendix, Türkiyə.;Antifreeze -56 3L;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
8488;变速箱油，包括更换;Gearbox oil, including change;Sürətlər qutusunun yağı, dəyişilməsi ilə birlikdə;ATF DSG  Bendix, Türkiyə.;ATF DSG;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
8489;更换燃油滤清器，使用新的滤清器和备用零件。;Replacing the fuel filter with a new one, along with a spare part;Yanacaq süzgəcinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;31519611170100. .Çin, Original;31519611170100;Fuel filter;燃油滤清器;Fuel System;;China;New;Original;;;
8490;更换空气滤清器，包括一个新的和备用的。;Replacing the air filter with a new one, along with a spare part;Hava süzgəcinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1109080. .Çin, Original;1109080;Air filter;空气滤清器;Engine;;China;New;Original;;;
8491;更换火花塞时，使用新的火花塞和备用零件。;Replacing the spark plug with a new one, along with the spare part;Alışdırma şamının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;D17YC .Çin, Original;D17YC;Spark plug;火花塞;Engine;;China;New;Original;;;
8492;用新灯泡替换旧灯泡，同时使用备用零件。;Replacing the bulb with a new one, along with the spare part;Babinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;022154027. .Çin, Original;022154027;Ignition coil;点火线圈;Engine;;China;New;Original;;;
8493;更换发动机皮带（链条），使用新的皮带和备用零件。;Replacing the engine belt (chain) with a new one, along with a spare part;Mühərrik qayışının (zəncirinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1308020. .Çin, Original;1308020;Engine timing chain;发动机正时链条;Engine;;China;New;Original;;;
8494;更换发动机支架，使用新的支架和备件。;Replacing the engine mount with a new one, along with the spare part;Mühərrik yastığının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1001100. .Çin, Original;1001100;Engine mount;发动机支架;Engine;;China;New;Original;;;
8495;更换前刹车片（含备件）;Replacement of front brake pads with new ones, including spare parts;Ön əyləc qəliblərinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;3501090-02. .Çin, Original;3501090-02;Front brake caliper;前制动卡钳;Brake System;;China;New;Original;;;
8496;更换后刹车片（含备件）;Replacement of rear brake pads with new ones, including spare parts;Arxa əyləc qəliblərinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;3507014. .Çin, Original;3507014;Rear brake caliper;后制动卡钳;Brake System;;China;New;Original;;;
8497;更换前减震器，包括备件。;Replacement of the front shock absorber with a new one, including the spare part;Ön amortizatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;2905006. .Çin, Original;2905006;Front shock absorber;前减震器;Suspension;;China;New;Original;;;
8498;更换后减震器，包括备件。;Replacement of the rear shock absorber with a new one, including the spare part;Arxa amortizatorun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;2915006. .Çin, Original;2915006;Rear shock absorber;后减震器;Suspension;;China;New;Original;;;
8499;更换前减震器，包括备件;Replacement of the front shock absorber with a new one, including spare parts;Ön amortizator yastığının yenisi ilə əvəz olunması, ehtiyat hissəsilə ilə birlikdə;110714001. .Çin, Original;110714001;Front shock absorber mount;前减震器胶垫;Suspension;;China;New;Original;;;
8500;车轮定位调整（外倾角）;Wheel alignment adjustment (camber);Təkər çəpliyinin tənzimlənməsi (razval);XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
8501;诊断;Diagnostics;Diaqnostika;XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
8502;更换凸轮轴位置传感器，包括备件。;Replacing the camshaft sensor with a new one, including spare parts;Paylayıcı valın (raspredvalın) sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;3847050-06. .Çin, Original;3847050-06;Camshaft;凸轮轴;Engine / Internal Parts;;China;New;Original;;;
8503;更换曲轴位置传感器，使用新的传感器和备件。;Replacing the crankshaft sensor with a new one, along with the spare part;Dirsəkli valın (kolenvalın) sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;3847010. .Çin, Original;3847010;Crankshaft;曲轴;Engine / Internal Parts;;China;New;Original;;;
8504;更换机油传感器，使用新的传感器和备件。;Replacing the oil sensor with a new one, along with the spare part;Yağ sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;2312382901. .Çin, Original;2312382901;Oil pressure sensor;机油压力传感器;Engine / Sensors;;China;New;Original;;;
8505;前支撑盘（aporn）更换，含备件;Front support disc (aporn) replacement, with spare part;Ön dayaq diskinin (apornunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;3501076. .Çin, Original;3501076;Front brake disc;前刹车盘;Braking System;;China;New;Original;;;
8506;更换后支撑盘（aporn），包括备件;Replacement of the rear support disc (aporn), including spare part;Arxa dayaq diskinin (apornunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;3501070. .Çin, Original;3501070;Rear brake disc;后刹车盘;Braking System;;China;New;Original;;;
8507;更换前后稳定杆橡胶件，包括备件;Replacement of front and rear stabilizer rubbers, including spare parts;Ön və arxa stabilizatorun rezinlərinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;2906041. .Çin, Original;2906041;Front and rear stabilizer bushings;前后稳定杆胶套;Suspension;;China;New;Original;;;
8508;右下臂置换，含备件;Lower right arm replacement, with spare part;Alt sağ qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;236031290902100..Çin, Original;236031290902100;Lower right control arm;右下控制臂;Suspension;;China;New;Original;;;
8509;左下臂置换，含备件;Lower left arm replacement, with spare part;Alt sol qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;9027839.Çin, Original;9027839;Lower left control arm;左下控制臂;Suspension;;China;New;Original;;;
8510;更换前减震器，包括备件;Replacement of the front shock absorber with a new one, including spare parts;Ön amortizator yastığının yenisi ilə əvəz olunması, ehtiyat hissəsilə ilə birlikdə;4853069425. .Çin, Original;4853069425;Front shock absorber mount;前减震器胶垫;Suspension;;China;New;Original;;;
8511;车轮定位调整（外倾角）;Wheel alignment adjustment (camber);Təkər çəpliyinin tənzimlənməsi (razval);XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
8512;诊断;Diagnostics;Diaqnostika;XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
8513;更换凸轮轴位置传感器，包括备件。;Replacing the camshaft sensor with a new one, including spare parts;Paylayıcı valın (raspredvalın) sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;9091905026. .Çin, Original;9091905026;Camshaft;凸轮轴;Engine / Internal Parts;;China;New;Original;;;
8514;更换曲轴位置传感器，使用新的传感器和备件。;Replacing the crankshaft sensor with a new one, along with the spare part;Dirsəkli valın (kolenvalın) sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;9091905026. .Çin, Original;9091905026;Crankshaft;曲轴;Engine / Internal Parts;;China;New;Original;;;
8515;更换催化转化器传感器，包括备用零件。;Replacement of the catalyst sensor with a new one, along with the spare part;Katalizator sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;9091905005. .Çin, Original;9091905005;Catalytic converter sensor;催化转换器传感器;Engine / Emission Sensors;;China;New;Original;;;
8516;更换机油传感器，使用新的传感器和备件。;Replacing the oil sensor with a new one, along with the spare part;Yağ sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;8946509110. .Çin, Original;8946509110;Oil pressure sensor;机油压力传感器;Engine / Sensors;;China;New;Original;;;
8517;更换ABS传感器，使用新的传感器和备件。;Replacing the ABS sensor with a new one, along with the spare part;ABS sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;8353060010. .Çin, Original;8353060010;ABS sensor;ABS传感器;Braking System / Sensors;;China;New;Original;;;
8518;前支撑盘（aporn）更换，含备件;Front support disc (aporn) replacement, with spare part;Ön dayaq diskinin (apornunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;8951660150. .Çin, Original;8951660150;Front brake disc;前刹车盘;Braking System;;China;New;Original;;;
8519;更换后支撑盘（aporn），包括备件;Replacement of the rear support disc (aporn), including spare part;Arxa dayaq diskinin (apornunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;4351260210. .Çin, Original;4351260210;Rear brake disc;后刹车盘;Braking System;;China;New;Original;;;
8520;更换前后稳定杆橡胶件，包括备件;Replacement of front and rear stabilizer rubbers, including spare parts;Ön və arxa stabilizatorun rezinlərinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;4243160290. .Çin, Original;4243160290;Front and rear stabilizer bushings;前后稳定杆胶套;Suspension;;China;New;Original;;;
8521;右下臂置换，含备件;Lower right arm replacement, with spare part;Alt sağ qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;4881560271. .Çin, Original;4881560271;Lower right control arm;右下控制臂;Suspension;;China;New;Original;;;
8522;左下臂置换，含备件;Lower left arm replacement, with spare part;Alt sol qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;4806860030. .Çin, Original;4806860030;Lower left control arm;左下控制臂;Suspension;;China;New;Original;;;
8523;更换下部皮带轮，包括备件;Replacement of the lower pulley, including spare part;Alt şaravoyun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;4806960030. .Çin, Original;4806960030;Lower ball joint;下球头;Suspension;;China;New;Original;;;
